model,record_id,column,old_url,aws_key,status,error,replacement_url
Workshop,135,setup,http://res.cloudinary.com/a-window-between-worlds/image/upload/v1552498091/Poems_handout_iuhvfu.pdf,http://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDUyMywicHVyIjoiYmxvYl9pZCJ9fQ==--826e0560ff478712fe14df49f8941bb209736449/res.cloudinary.com
Workshop,136,materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1664917507/World_Template_.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,136,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1665520454/Children_United_Throughout_the_World_.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,139,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1666711762/New_Year%27s_Garden_.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,143,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1666223815/Dream_Pillows_.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,147,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1666633299/Money_Jar_.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,150,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1600723293/Personal_Needs_Flower_Worksheet_zkualo.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,150,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1668036301/Personal_Needs_Flower_Spanish_.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,153,materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1552498091/Poems_handout_iuhvfu.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,153,setup,http://res.cloudinary.com/a-window-between-worlds/image/upload/v1552498091/Poems_handout_iuhvfu.pdf,http://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDUyMywicHVyIjoiYmxvYl9pZCJ9fQ==--826e0560ff478712fe14df49f8941bb209736449/res.cloudinary.com
Workshop,165,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1624661801/Footprints_in_the_Sand_Poem_msosvz.jpg,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,165,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1608319953/JourneyFootprints_worksheet.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
